node_id,lat,lon,price_dp
12TH_S_LNODENMZ,37.63715677998629,-120.99316020050249,-10.75059
12TH_S_LNODEXWQ,37.63715677998629,-120.99327439949751,-10.75059
8TH_ST_LNODEBXG,37.64197726998626,-121.00603849646912,-10.75059
8TH_ST_LNODELZF,37.64197726998626,-121.00615270353089,-10.75059
AEC300_1_N001,37.74,-121.48,-10.71366
AGNEW_1_N003,37.51,-121.84,-10.35781
AIRPROD_1_N001,36.65,-119.54,-11.2052
AIR_SUB_LNODENAA,33.96205409081493,-118.376,-10.75059
AIR_SUB_LNODENAB,33.961972954579615,-118.37594352117388,-10.75059
AIR_SUB_LNODEONC,33.961972954579615,-118.37605647882611,-10.75059
ALAMITOS_2_N001,33.771584,-118.100596,-10.75059
ALAMITOS_2_N040,33.77,-118.1,-10.75059
ALAMT1G_7_N002,33.77149401717401,-118.1004877514908,-10.75059
ALAMT2G_7_N002,33.771415173499584,-118.10067098425147,-10.75059
ALAMT3G_7_N002,33.77144633917227,-118.10077253262283,-10.75059
ALAMT4G_7_N002,33.771511965310076,-118.10084659342048,-10.75059
ALAMT5G_7_N002,33.771597006833865,-118.1008819712055,-10.75059
ALAMT6G_7_N002,33.77176916262267,-118.10083231072662,-10.75059
ALHAMBRA_1_N001,37.99408499998608,-122.13031167024367,-10.48754
ALHAMBRA_1_N002,37.99408499998608,-122.13042632975633,-10.48754
ALLEGHNY_6_N001,39.464893,-120.844946,-10.71366
ALMADEN_6_N001,37.26027,-121.890082,-10.24723
ALMOND_LNODEAUX,37.574202045609525,-120.98511610244,-10.75059
ALPAUGH_7_N002,35.963463732836644,-119.456796,-10.96775
ALPINE_6_N001,32.82778299998866,-116.78987271391081,-10.75059
ALPINE_6_N005,32.82778299998866,-116.78997928608918,-10.75059
ALTO_6_N001,37.89825299998615,-122.52430271885964,-10.50437
ALTO_6_N101,37.89825299998615,-122.52441728114036,-10.50437
ALTTA_BP_LNODEPRT,41.51205899998436,-120.5236838478691,-10.75059
ALTTA_BP_LNODETON,41.51205899998436,-120.5238041521309,-10.75059
AMERIGAS_1_N001,38.43,-121.79,-10.53078
AMESBS_1_N004,37.41751022008469,-122.066192,-10.35781
AMESBS_1_N101,37.41742888994297,-122.06613287861066,-10.35781
AMESDST_1_N001,37.41742888994297,-122.06625112138934,-10.35781
AMFORST_6_N001,38.369191999986,-120.79657754861613,-10.70789
ANDERSON_6_N001,40.449838,-122.305068,-10.71827
ANGIOLA_6_N001,35.992007,-119.57137,-11.19991
ANITA_6_N001,39.811047,-121.919761,-10.71827
ANNAPOLS_6_N001,38.680315,-123.311782,2.78963
ANTELOPE_6_N001,35.658117,-119.996015,-11.01988
ANTLER_6_N001,40.893581,-122.379244,-10.71827
APPLEHL_1_N001,38.73992576174639,-120.67700091995808,-10.71366
APPLEHL_1_N002,38.73974623814083,-120.67700092024737,-10.71366
APPMAT_1_N001,37.359999999986435,-121.97994317305394,-10.36623
APPMAT_1_N010,37.359999999986435,-121.98005682694607,-10.36623
ARBUCKLE_6_N001,39.017625,-122.061575,-19.07472
ARCATA_6_N001,40.867132,-124.088286,-17.74657
ARVINED_1_N001,35.15044599998752,-118.87870286987292,-10.96659
ARVIN_6_N001,35.15044599998752,-118.87881313012709,-9.55
ASHLAN_2_N001,36.79263892472445,-119.82749,-11.17418
ASHLAN_2_N007,36.7925580376235,-119.82743168375806,-11.17418
ASHLAN_2_N008,36.7925580376235,-119.82754831624194,-11.17418
ASH_6_N001,33.1365697302963,-117.070292,-10.75059
ASH_6_N005,33.13648913483958,-117.0702364310647,-10.75059
ASH_6_N101,33.13648913483958,-117.07034756893529,-10.75059
ASPEN_LNODESPEN,37.69337956,-122.069288,-10.75059
ATASCDRO_6_N001,35.465309,-120.671582,-11.07976
ATWATER_1_B2,37.35999599998639,-120.6146481730584,-32.44
ATWATER_1_N001,37.35999599998639,-120.6147618269416,-32.44
ATW_SUB_LNODEONB,34.1096541600031,-118.254,-10.75059
ATW_SUB_LNODEONC,34.10957291998536,-118.25394335044959,-10.75059
ATW_SUB_LNODEOND,34.10957291998536,-118.2540566495504,-10.75059
AUBERRY_6_N001,37.06806099998665,-119.495719527536,-11.2052
AUBERRY_6_N003,37.06806099998665,-119.495832472464,-11.2052
AUBURN_6_N001,38.903397,-121.069921,-10.71366
AUGUST_LNODEDR1,37.4182520696912,-120.831252690486,-10.75059
AUGUST_LNODEDR3,37.4182452743243,-120.831131410372,-10.75059
AUGUST_LNODEDR4,37.4182458785436,-120.830989786937,-10.75059
AUGUST_LNODEDR5,37.4182557186304,-120.831363604619,-10.75059
AVENA_1_N001,37.842208,-121.054122,-10.7125
AVOCADO_6_N001,33.38466699998843,-117.23692330729693,-10.75059
AVOCADO_6_N002,33.38466699998843,-117.23703069270306,-10.75059
BAFOOD1_6_N001,36.33,-121.16,-10.86972
BAHIA_2_N001,38.08095331088854,-122.13739126700075,-10.50437
BAHIA_2_N011,38.08077268899996,-122.13739126728416,-10.50437
BAILYJ1_1_N010,34.77604,-118.77504,-10.1883
BAIR_1_N001,37.496937,-122.214157,-10.40105
BAKER_1_N001,35.284771,-116.064256,-10.75059
BALFOUR_6_N001,37.92596,-121.678546,-10.50437
BANGOR_6_N001,39.388064,-121.402937,-10.71596
BANGS_LNODEKGC,37.70469,-121.0418,-10.75059
BANNING_1_N001,33.922289,-116.87283,-10.75059
BANTA_6_N001,37.7528989999862,-121.35057581075783,-10.71366
BARRETT_6_N001,32.667194,-116.700208,-10.75059
BARRE_6_N001,33.80900298319592,-117.98332966316445,-10.75059
BARRE_6_N002,33.80900298319592,-117.98354633683554,-10.75059
BARRE_6_N003,33.80918301670945,-117.9835463370635,-10.75059
BARRY_6_N001,39.069323,-121.690208,-10.71481
BARTON_1_N001,36.76408490976673,-119.735935,-11.19332
BARTON_1_N007,36.76400404510246,-119.73587672164825,-11.19332
BARTON_1_N008,36.76400404510246,-119.73599327835174,-11.19332
BASALT_6_N002,38.26328599998595,-122.26916657483297,-10.51394
BASALT_6_N101,38.26328599998595,-122.26928142516702,-10.51394
BATAVIA_6_N001,38.385820999985995,-121.77570654480984,-10.53078
BATIQTOS_1_N001,33.1011727252775,-117.250399,-10.75059
BATIQTOS_1_N008,33.101092137348985,-117.25034345864424,-10.75059
BATIQTOS_1_N015,33.101092137348985,-117.25045454135577,-10.75059
BAYMDWS_1_N001,37.55162541726735,-122.29307795256243,-10.40947
BAYMDWS_1_N004,37.551444582623034,-122.29307795283914,-10.40947
BAYMDWS_1_N008,37.551444582623034,-122.29330604716085,-10.40947
BAYMDWS_1_N012,37.55162541726735,-122.29330604743757,-10.40947
